kind	mod	server_id	arch	path_role	image_ref	image_digest	file_path	compat_group	icu_role	soname	sha256
detect	plex	plex-1.43.1	linux-x86_64-v2	plex_pms:pristine	-	-	/usr/lib/plexmediaserver/Plex Media Server	-	-	-	7bcee7e4784aaf0c626eb4ebffea42335130638d2f306d7e290e33f4e54f6dfc
detect	plex	plex-1.43.1	linux-x86_64-v2	plex_pms:patched	-	-	/usr/lib/plexmediaserver/Plex Media Server	-	-	-	8419b6ccbfa9a6422010f748e18cfc088de09c308e239b814ae168bd1653a056
detect	plex	plex-1.43.1	linux-x86_64-v2	plex_scanner:pristine	-	-	/usr/lib/plexmediaserver/Plex Media Scanner	-	-	-	fa022cbde61737d23c9a3737e3273b783242ae9f452d11cebb2e78349f215d46
detect	plex	plex-1.43.1	linux-x86_64-v2	plex_scanner:patched	-	-	/usr/lib/plexmediaserver/Plex Media Scanner	-	-	-	7764ce1a36d2f887a0a28fdae4256cbc1d674ad05c765ad20143e1fd4f728b6b
pre	plex	plex-1.43.1	linux-x86_64-v2	target_sqlite	ghcr.io/linuxserver/plex:1.43.1	-	/usr/lib/plexmediaserver/lib/libsqlite3.so	-	-	-	3789c5a7d8282630f70395edad9f99941ac7317c631cc7d5517303e7a2b23138
pre	plex	plex-1.43.1	linux-x86_64-v2	plex_icu_linked:libicuucplex.so.69	ghcr.io/linuxserver/plex:1.43.1	-	/usr/lib/plexmediaserver/lib/libicuucplex.so.69	-	-	-	3ef38b59abc2b1de8337bec9974249da004adbfae5db2320e3988b4b195590a8
pre	plex	plex-1.43.1	linux-x86_64-v2	plex_icu_linked:libicui18nplex.so.69	ghcr.io/linuxserver/plex:1.43.1	-	/usr/lib/plexmediaserver/lib/libicui18nplex.so.69	-	-	-	e1ec29ebb1f9c939e71e0888fcf22aa74cc2a8185dc083df7ef0b92a4893c24c
pre	plex	plex-1.43.1	linux-x86_64-v2	plex_icu_linked:libicudataplex.so.69	ghcr.io/linuxserver/plex:1.43.1	-	/usr/lib/plexmediaserver/lib/libicudataplex.so.69	-	-	-	d010a5dcdfd87a29c780759dd52edc20547805fa8f648b73b6e44ec1fcc70d93
detect	plex	plex-1.43.1	linux-x86_64-v3	plex_pms:pristine	-	-	/usr/lib/plexmediaserver/Plex Media Server	-	-	-	7bcee7e4784aaf0c626eb4ebffea42335130638d2f306d7e290e33f4e54f6dfc
detect	plex	plex-1.43.1	linux-x86_64-v3	plex_pms:patched	-	-	/usr/lib/plexmediaserver/Plex Media Server	-	-	-	8419b6ccbfa9a6422010f748e18cfc088de09c308e239b814ae168bd1653a056
detect	plex	plex-1.43.1	linux-x86_64-v3	plex_scanner:pristine	-	-	/usr/lib/plexmediaserver/Plex Media Scanner	-	-	-	fa022cbde61737d23c9a3737e3273b783242ae9f452d11cebb2e78349f215d46
detect	plex	plex-1.43.1	linux-x86_64-v3	plex_scanner:patched	-	-	/usr/lib/plexmediaserver/Plex Media Scanner	-	-	-	7764ce1a36d2f887a0a28fdae4256cbc1d674ad05c765ad20143e1fd4f728b6b
pre	plex	plex-1.43.1	linux-x86_64-v3	target_sqlite	ghcr.io/linuxserver/plex:1.43.1	-	/usr/lib/plexmediaserver/lib/libsqlite3.so	-	-	-	3789c5a7d8282630f70395edad9f99941ac7317c631cc7d5517303e7a2b23138
pre	plex	plex-1.43.1	linux-x86_64-v3	plex_icu_linked:libicuucplex.so.69	ghcr.io/linuxserver/plex:1.43.1	-	/usr/lib/plexmediaserver/lib/libicuucplex.so.69	-	-	-	3ef38b59abc2b1de8337bec9974249da004adbfae5db2320e3988b4b195590a8
pre	plex	plex-1.43.1	linux-x86_64-v3	plex_icu_linked:libicui18nplex.so.69	ghcr.io/linuxserver/plex:1.43.1	-	/usr/lib/plexmediaserver/lib/libicui18nplex.so.69	-	-	-	e1ec29ebb1f9c939e71e0888fcf22aa74cc2a8185dc083df7ef0b92a4893c24c
pre	plex	plex-1.43.1	linux-x86_64-v3	plex_icu_linked:libicudataplex.so.69	ghcr.io/linuxserver/plex:1.43.1	-	/usr/lib/plexmediaserver/lib/libicudataplex.so.69	-	-	-	d010a5dcdfd87a29c780759dd52edc20547805fa8f648b73b6e44ec1fcc70d93
detect	plex	plex-1.43.1	linux-arm64	plex_pms:pristine	-	-	/usr/lib/plexmediaserver/Plex Media Server	-	-	-	6a3e9bba8317adc75124daef69543a9234ef2a5f02d840dd9396b3710c2662e3
detect	plex	plex-1.43.1	linux-arm64	plex_pms:patched	-	-	/usr/lib/plexmediaserver/Plex Media Server	-	-	-	c6fccb1ab9d6dcf6eebd0f2f891149e45622bb30a190a40ac91060e2e9fcb400
detect	plex	plex-1.43.1	linux-arm64	plex_scanner:pristine	-	-	/usr/lib/plexmediaserver/Plex Media Scanner	-	-	-	c3c7873b4fa0635d5df4e649094f559ec6f66c6079eecadb0aff3b2950fbc030
detect	plex	plex-1.43.1	linux-arm64	plex_scanner:patched	-	-	/usr/lib/plexmediaserver/Plex Media Scanner	-	-	-	53c3ffba6cb11949a292ca7ebcbde683c27b30cafb7f5746d8cfdcf3251587f4
pre	plex	plex-1.43.1	linux-arm64	target_sqlite	ghcr.io/linuxserver/plex:1.43.1	-	/usr/lib/plexmediaserver/lib/libsqlite3.so	-	-	-	e20c6f5424900a891519681b71d50d20cc5ab686c3078a64bc0beddd5de98c06
pre	plex	plex-1.43.1	linux-arm64	plex_icu_linked:libicuucplex.so.69	ghcr.io/linuxserver/plex:1.43.1	-	/usr/lib/plexmediaserver/lib/libicuucplex.so.69	-	-	-	59be39a2fcdcf4d957ac3b253a883aae5f27904b46c4627ddce7a200ce8f818b
pre	plex	plex-1.43.1	linux-arm64	plex_icu_linked:libicui18nplex.so.69	ghcr.io/linuxserver/plex:1.43.1	-	/usr/lib/plexmediaserver/lib/libicui18nplex.so.69	-	-	-	269fcbfaf16816dcfac70331cb1c678dfccec75f17d3c204bf13f00ac9312aab
pre	plex	plex-1.43.1	linux-arm64	plex_icu_linked:libicudataplex.so.69	ghcr.io/linuxserver/plex:1.43.1	-	/usr/lib/plexmediaserver/lib/libicudataplex.so.69	-	-	-	7c891c918022d1ff417e4d17478035d5426b1747dee07a8649a3aea494567dc3
detect	plex	plex-1.43.2	linux-x86_64-v2	plex_pms:pristine	-	-	/usr/lib/plexmediaserver/Plex Media Server	-	-	-	22861f0c26767eaa2ce0cfcf697bc14b1870d58079c1089c634a1f454b445597
detect	plex	plex-1.43.2	linux-x86_64-v2	plex_pms:patched	-	-	/usr/lib/plexmediaserver/Plex Media Server	-	-	-	431e5019a3f9062d6f10c5bcea7120bd3b4a0383c747defbde0db7ec7dfb791d
detect	plex	plex-1.43.2	linux-x86_64-v2	plex_scanner:pristine	-	-	/usr/lib/plexmediaserver/Plex Media Scanner	-	-	-	8f12a65001a11953740e78f2f023aa785d5f3caf269da951b7d75b8b45c7785e
detect	plex	plex-1.43.2	linux-x86_64-v2	plex_scanner:patched	-	-	/usr/lib/plexmediaserver/Plex Media Scanner	-	-	-	f0df6e2b0ba0116333fd0e4435e17fb187bb1445d9d103f0ea1339f1ee0a564f
pre	plex	plex-1.43.2	linux-x86_64-v2	target_sqlite	ghcr.io/linuxserver/plex:1.43.2	-	/usr/lib/plexmediaserver/lib/libsqlite3.so	-	-	-	3789c5a7d8282630f70395edad9f99941ac7317c631cc7d5517303e7a2b23138
pre	plex	plex-1.43.2	linux-x86_64-v2	plex_icu_linked:libicuucplex.so.69	ghcr.io/linuxserver/plex:1.43.2	-	/usr/lib/plexmediaserver/lib/libicuucplex.so.69	-	-	-	3ef38b59abc2b1de8337bec9974249da004adbfae5db2320e3988b4b195590a8
pre	plex	plex-1.43.2	linux-x86_64-v2	plex_icu_linked:libicui18nplex.so.69	ghcr.io/linuxserver/plex:1.43.2	-	/usr/lib/plexmediaserver/lib/libicui18nplex.so.69	-	-	-	e1ec29ebb1f9c939e71e0888fcf22aa74cc2a8185dc083df7ef0b92a4893c24c
pre	plex	plex-1.43.2	linux-x86_64-v2	plex_icu_linked:libicudataplex.so.69	ghcr.io/linuxserver/plex:1.43.2	-	/usr/lib/plexmediaserver/lib/libicudataplex.so.69	-	-	-	d010a5dcdfd87a29c780759dd52edc20547805fa8f648b73b6e44ec1fcc70d93
detect	plex	plex-1.43.2	linux-x86_64-v3	plex_pms:pristine	-	-	/usr/lib/plexmediaserver/Plex Media Server	-	-	-	22861f0c26767eaa2ce0cfcf697bc14b1870d58079c1089c634a1f454b445597
detect	plex	plex-1.43.2	linux-x86_64-v3	plex_pms:patched	-	-	/usr/lib/plexmediaserver/Plex Media Server	-	-	-	431e5019a3f9062d6f10c5bcea7120bd3b4a0383c747defbde0db7ec7dfb791d
detect	plex	plex-1.43.2	linux-x86_64-v3	plex_scanner:pristine	-	-	/usr/lib/plexmediaserver/Plex Media Scanner	-	-	-	8f12a65001a11953740e78f2f023aa785d5f3caf269da951b7d75b8b45c7785e
detect	plex	plex-1.43.2	linux-x86_64-v3	plex_scanner:patched	-	-	/usr/lib/plexmediaserver/Plex Media Scanner	-	-	-	f0df6e2b0ba0116333fd0e4435e17fb187bb1445d9d103f0ea1339f1ee0a564f
pre	plex	plex-1.43.2	linux-x86_64-v3	target_sqlite	ghcr.io/linuxserver/plex:1.43.2	-	/usr/lib/plexmediaserver/lib/libsqlite3.so	-	-	-	3789c5a7d8282630f70395edad9f99941ac7317c631cc7d5517303e7a2b23138
pre	plex	plex-1.43.2	linux-x86_64-v3	plex_icu_linked:libicuucplex.so.69	ghcr.io/linuxserver/plex:1.43.2	-	/usr/lib/plexmediaserver/lib/libicuucplex.so.69	-	-	-	3ef38b59abc2b1de8337bec9974249da004adbfae5db2320e3988b4b195590a8
